date,open,high,low,close,volume,hold,settle
2025-03-27,13250.0,13330.0,13225.0,13240.0,680,572,13260.0
2025-03-28,13240.0,13255.0,13030.0,13065.0,737,1060,13120.0
2025-03-31,13065.0,13090.0,13025.0,13035.0,527,1431,13055.0
2025-04-01,13030.0,13065.0,12995.0,13060.0,422,1674,13035.0
2025-04-02,13045.0,13115.0,13045.0,13100.0,552,1945,13095.0
2025-04-03,13090.0,13140.0,13085.0,13100.0,474,2184,13100.0
2025-04-07,13205.0,13250.0,13120.0,13170.0,821,2472,13175.0
2025-04-08,13175.0,13270.0,13175.0,13260.0,758,2851,13220.0
2025-04-09,13255.0,13310.0,13220.0,13300.0,1114,3235,13270.0
2025-04-10,13245.0,13355.0,13215.0,13340.0,1199,3588,13305.0
2025-04-11,13350.0,13350.0,13285.0,13325.0,606,3789,13315.0
2025-04-14,13350.0,13405.0,13345.0,13380.0,911,4244,13375.0
2025-04-15,13345.0,13385.0,13335.0,13360.0,483,4309,13360.0
2025-04-16,13315.0,13370.0,13275.0,13295.0,659,4427,13315.0
2025-04-17,13300.0,13385.0,13285.0,13370.0,615,4649,13340.0
2025-04-18,13360.0,13425.0,13320.0,13405.0,1033,5120,13380.0
2025-04-21,13385.0,13425.0,13360.0,13380.0,762,5253,13385.0
2025-04-22,13405.0,13405.0,13345.0,13365.0,475,5297,13365.0
2025-04-23,13375.0,13395.0,13255.0,13280.0,836,5399,13310.0
2025-04-24,13260.0,13290.0,13200.0,13215.0,1020,5741,13230.0
2025-04-25,13210.0,13250.0,13210.0,13235.0,426,5840,13225.0
2025-04-28,13190.0,13255.0,13190.0,13210.0,451,5986,13225.0
2025-04-29,13205.0,13205.0,13105.0,13135.0,917,6036,13130.0
2025-04-30,13165.0,13165.0,13110.0,13120.0,353,6145,13130.0
2025-05-06,13120.0,13165.0,13120.0,13140.0,397,6341,13140.0
2025-05-07,13150.0,13195.0,13140.0,13190.0,2731,8803,13180.0
2025-05-08,13180.0,13185.0,13130.0,13150.0,1689,9553,13150.0
2025-05-09,13145.0,13180.0,13125.0,13165.0,1058,10044,13155.0
2025-05-12,13140.0,13190.0,13135.0,13140.0,1541,10727,13145.0
2025-05-13,13130.0,13145.0,13115.0,13125.0,713,11033,13125.0
2025-05-14,13130.0,13170.0,13130.0,13155.0,669,11324,13140.0
2025-05-15,13145.0,13170.0,13120.0,13120.0,1546,11664,13145.0
2025-05-16,13140.0,13140.0,13070.0,13075.0,688,11938,13100.0
2025-05-19,13065.0,13065.0,13000.0,13010.0,897,12427,13030.0
2025-05-20,13030.0,13045.0,13010.0,13010.0,384,12487,13020.0
2025-05-21,13020.0,13035.0,13010.0,13015.0,445,12718,13015.0
2025-05-22,13015.0,13015.0,12920.0,12935.0,1020,13204,12965.0
2025-05-23,12965.0,12965.0,12855.0,12875.0,1215,13771,12905.0
2025-05-26,12830.0,12890.0,12830.0,12875.0,705,13976,12870.0
2025-05-27,12870.0,12890.0,12790.0,12815.0,1143,14137,12820.0
2025-05-28,12820.0,12820.0,12695.0,12715.0,1432,14545,12750.0
2025-05-29,12710.0,12900.0,12590.0,12795.0,3652,14864,12750.0
2025-05-30,12810.0,12920.0,12800.0,12900.0,1937,15059,12870.0
2025-06-03,12925.0,12950.0,12835.0,12840.0,1513,15374,12890.0
2025-06-04,12840.0,12870.0,12785.0,12820.0,1173,15747,12815.0
2025-06-05,12830.0,12850.0,12760.0,12790.0,847,16048,12800.0
2025-06-06,12800.0,12835.0,12775.0,12795.0,664,16169,12805.0
2025-06-09,12790.0,12815.0,12720.0,12750.0,1159,16540,12765.0
2025-06-10,12790.0,12825.0,12745.0,12765.0,1992,16818,12785.0
2025-06-11,12770.0,12800.0,12750.0,12775.0,859,17052,12775.0
2025-06-12,12775.0,12800.0,12755.0,12770.0,762,17151,12775.0
2025-06-13,12800.0,12800.0,12765.0,12765.0,766,17272,12775.0
2025-06-16,12785.0,12785.0,12735.0,12745.0,783,17551,12760.0
2025-06-17,12740.0,12745.0,12710.0,12715.0,1024,17898,12720.0
2025-06-18,12710.0,12735.0,12700.0,12720.0,754,18201,12725.0
2025-06-19,12740.0,12760.0,12715.0,12715.0,645,18270,12730.0
2025-06-20,12710.0,12780.0,12710.0,12765.0,1606,18273,12755.0
2025-06-23,12800.0,12820.0,12755.0,12775.0,836,18443,12775.0
2025-06-24,12785.0,12795.0,12750.0,12775.0,925,18637,12770.0
2025-06-25,12760.0,12795.0,12750.0,12790.0,776,18826,12780.0
2025-06-26,12780.0,12805.0,12755.0,12775.0,794,18955,12775.0
2025-06-27,12785.0,12830.0,12770.0,12825.0,1719,19069,12795.0
2025-06-30,12820.0,12845.0,12780.0,12805.0,1371,19293,12800.0
2025-07-01,12810.0,12825.0,12770.0,12785.0,1138,19293,12800.0
2025-07-02,12775.0,12900.0,12775.0,12895.0,3512,19986,12850.0
2025-07-03,12895.0,13000.0,12865.0,12970.0,3308,20481,12940.0
2025-07-04,12940.0,13080.0,12940.0,12975.0,3609,20624,13010.0
2025-07-07,12980.0,13040.0,12920.0,12995.0,1671,20878,13000.0
2025-07-08,12990.0,13020.0,12960.0,12990.0,1266,20838,12995.0
2025-07-09,12995.0,13005.0,12935.0,12955.0,1743,21301,12965.0
2025-07-10,12965.0,13000.0,12950.0,12990.0,2123,21258,12980.0
2025-07-11,13000.0,13050.0,12975.0,12980.0,2252,21624,13010.0
2025-07-14,12950.0,13010.0,12935.0,12990.0,1458,21748,12970.0
2025-07-15,12975.0,13010.0,12945.0,12965.0,1669,21785,12975.0
2025-07-16,12965.0,12980.0,12900.0,12920.0,2506,22505,12930.0
2025-07-17,12910.0,12965.0,12910.0,12945.0,1272,22401,12940.0
2025-07-18,12985.0,13030.0,12960.0,13005.0,2564,22152,12990.0
2025-07-21,13060.0,13300.0,13040.0,13240.0,7258,22097,13190.0
2025-07-22,13245.0,13335.0,13190.0,13305.0,4575,22283,13260.0
2025-07-23,13380.0,13960.0,13370.0,13575.0,18333,23646,13670.0
2025-07-24,13440.0,13860.0,13440.0,13730.0,9127,23999,13645.0
