date,net_position
2024-02-26,-5159
2024-02-27,-5705
2024-02-28,-5968
2024-02-29,-5910
2024-03-01,-5718
2024-03-04,-5532
2024-03-05,-5838
2024-03-06,-6400
2024-03-07,-6351
2024-03-08,-6379
2024-03-11,-6143
2024-03-12,-6012
2024-03-13,-6239
2024-03-14,-6618
2024-03-15,-6531
2024-03-18,-7023
2024-03-19,-7046
2024-03-20,-6509
2024-03-21,-6301
2024-03-22,-6044
2024-03-25,-5613
2024-03-26,-5592
2024-03-27,-4593
2024-03-28,-4383
2024-03-29,-5254
2024-04-01,-5461
2024-04-02,-5393
2024-04-03,-5680
2024-04-08,-5621
2024-04-09,-5829
2024-04-10,-5943
2024-04-11,-5776
2024-04-12,-6087
2024-04-15,-5968
2024-04-16,-5900
2024-04-17,-5911
2024-04-18,-6066
2024-04-19,-5935
2024-04-22,-5472
2024-04-23,-5597
2024-04-24,-5786
2024-04-25,-4147
2024-04-26,-3821
2024-04-29,-3547
2024-04-30,-3484
2024-05-06,-3415
2024-05-07,-3065
2024-05-08,-3051
2024-05-09,-2934
2024-05-10,-2846
2024-05-13,-2878
2024-05-14,-2538
2024-05-15,-2942
2024-05-16,-2862
2024-05-17,-3074
2024-05-20,-3195
2024-05-21,-2900
2024-05-22,-3218
2024-05-23,-2969
2024-05-24,-3140
2024-05-27,-2881
2024-05-28,-3232
2024-05-29,-3793
2024-05-30,-3528
2024-05-31,-3576
