company,long,long_chg,short,short_chg,volume,volume_chg
中信期货,8611,840,8925,824,29298,8366
国泰君安,7767,785,14682,529,17834,3767
东证期货,7414,191,5461,1217,14266,3885
中信建投,5249,342,3746,-127,8041,1523
银河期货,4597,618,5526,605,8551,2442
方正中期,4535,-13,2794,558,5131,1502
东方财富,4255,822,0,0,9627,2911
永安期货,3917,78,7988,418,2956,1184
中泰期货,3563,346,4745,-444,6916,2119
华泰期货,3508,85,3946,-105,7076,1661
海通期货,3247,503,2217,224,5387,2278
招商期货,2496,45,2669,-4,3437,1201
光大期货,2420,615,0,0,3505,497
平安期货,2342,402,0,0,2937,685
广发期货,2297,149,1908,192,4045,1740
长江期货,2170,49,0,0,0,0
国信期货,2159,52,1614,-150,4388,1775
南华期货,2129,-78,2389,82,19550,10786
兴证期货,2043,63,0,0,0,0
东吴期货,2039,271,2969,404,3529,263
创元期货,0,0,2695,-140,0,0
中州期货,0,0,1823,127,0,0
中粮期货,0,0,4345,241,0,0
国投期货,0,0,4423,546,0,0
华闻期货,0,0,0,0,3071,804
格林大华,0,0,6090,-36,0,0
徽商期货,0,0,0,0,3836,795
